A,A*,B,B+,C,C+,D,D+,E,F,S,S^,X,course_code,course_title,prof_name,semester,year,id
3,2,6,7,4,9,1,,,1,,,,SEE624,DESIGN STRATEGIES FOR NET-ZERO ENERGY BUILDINGS,Aakash Chand Rai,1,2024-25,1
3,2,,3,3,4,7,,,,,,,SEE604,THERMODYNAMICS OF ENERGY SYSTEMS,Aakash Chand Rai,2,2023-24,2
2,,3,,,2,,,,,,,,SEE624A,DESIGN STRATEGIES FOR NET-ZERO ENERGY BUILDINGS,Aakash Chand Rai,1,2023-24,3
1,,2,,1,4,,,,2,,,,SEE624,DESIGN STRATEGIES FOR NET-ZERO ENERGY BUILDINGS,Aakash Chand Rai,1,2023-24,4
2,,1,2,1,5,2,1,,,,,,SEE618A,ENERGY EFFICIENT BUILDING DESIGN,Aakash Chand Rai,2,2022-23,5
2,,2,,1,,,,,,,,,SEE618A,ENERGY EFFICIENT BUILDING DESIGN,Aakash Chand Rai,1,2022-23,6
,,,,,,,,,,157,,7,CE341,CIVIL ENGINEERING COMMUNICATION SKILLS,Abhas Singh,1,2024-25,7
,,,,,1,,,,,,,,CE767,SOLID WATER INTERFACIAL PROCESSES,Abhas Singh,2,2023-24,8
5,1,34,16,22,28,17,16,6,10,,,,CE214,ENVIRONMENTAL QUALITY AND PROCESSES,Abhas Singh,2,2023-24,9
,,,1,,,,,,,,,,CE664A,PHYSICO-CHEMICAL PRINCIPLES AND PROCESS,Abhas Singh,1,2023-24,10
15,1,41,21,24,37,10,16,,6,,,,EE330,POWER SYSTEMS,Abheejeet Mohapatra,1,2024-25,11
,,,,,1,,,,,,,,EE330A,POWER SYSTEMS,Abheejeet Mohapatra,3,2023-24,12
1,,2,2,1,,,,,,,,,EE330,POWER SYSTEMS,Abheejeet Mohapatra,3,2023-24,13
1,,1,,,,,,,,1,,,EE632,ECONOMIC OPERATION & CONTROL OF POWER SYSTEMS,Abheejeet Mohapatra,2,2023-24,14
1,1,4,2,,1,,,,1,,,,EE636A,ADVANCED PROTECTIVE RELAYING,Abheejeet Mohapatra,2,2022-23,15
4,2,9,5,2,8,,,,,,,,EE630A,SIMULATON OF MODERN POWER SYSTEMS,Abheejeet Mohapatra,1,2022-23,16
4,,5,2,2,6,,,,1,,,,AE666,COMBUSTION DIAGNOSTICS,Abhijit Kushari,2,2023-24,17
58,,1,13,,,,,,,,,,AE361A,AEROMODEL DESIGN & FABRICATION,Abhijit Kushari,2,2023-24,18
6,1,4,8,4,4,,,,,,,,AE601,INTRO TO AEROSPACE ENGG.,Abhijit Kushari,1,2023-24,19
3,1,4,6,2,5,,1,,3,,,,AE663A,FUNDAMENTALS OF COMBUSTION,Abhijit Kushari,1,2022-23,20
16,3,27,,14,,3,,,,,,,AE351A,EXPERIMENTS IN AEROSPACE ENGINEERING -II,Abhijit Kushari,2,2021-22,21
15,3,13,,9,,1,,,2,,,,AE601A,INTRO TO AEROSPACE ENGG.,Abhijit Kushari,1,2021-22,22
3,,7,3,9,6,9,9,,14,,,,MTH434M,COMPLEX ANALYSIS,Abhijit Pal,1,2024-25,23
10,1,88,44,296,158,207,347,,68,,,,MTH113M,LINEAR ALGEBRA,Abhijit Pal,2,2023-24,24
39,8,227,125,195,235,151,171,34,115,,,,MTH112M,APPLICATION OF SINGLE VARIABLE CALCULUS & SEVERAL VARIABLE CALCULUS,Abhijit Pal,1,2023-24,25
