course_code,prof_name,avg_grade,samples
AE201A,Debopam Das,8.21,1
AE201M,Abhishek,7.22,1
AE209,Sanjay Kumar,6.85,2
AE211,Arun Kumar Perumal,6.03,1
AE211A,Navrose,7.0,1
AE211A,Rakesh Kumar,5.68,1
AE311A,Arun Kumar Perumal,5.885,2
AE321,Raghavendra P Kukillaya,7.06,1
AE321A,Raghavendra P Kukillaya,8.11,1
AE321A,Subrahmanyam Saderla,7.83,1
AE322A,Dipak Kumar Giri,7.88,1
AE322A,Mangal Kothari,7.52,1
AE322A,Raghavendra P Kukillaya,7.3,1
AE341A,Ashoke De,6.0,1
AE341A,D Chaitanya Kumar Rao,7.4399999999999995,2
AE341A,Rajesh Ranjan,6.79,1
AE341A,Vaibhav Arghode,6.14,1
AE351A,Abhijit Kushari,7.97,1
AE351A,Rajesh Kitey,7.72,1
AE361A,Abhijit Kushari,9.79,1
AE371A,Alakesh Chandra Mandal,,1
AE401A,Rakesh Kumar,,1
AE401A,Vaibhav Arghode,,1
AE421A,Subrahmanyam Saderla,7.01,1
AE441A,Sathesh Mariappan,7.863333333333333,3
AE451A,Kamal Poddar,7.03,1
AE451A,Rajesh Kitey,8.11,1
AE451A,Sathesh Mariappan,7.96,1
AE461A,Mangal Kothari,6.6,1
AE461A,Subrahmanyam Saderla,8.075,2
AE471A,Alakesh Chandra Mandal,8.0,1
AE481,Debopam Das,6.0,1
AE481A,Sanjay Mittal,7.89,1
AE601,Abhijit Kushari,8.37,1
AE601A,Abhijit Kushari,7.95,1
AE601A,Debopam Das,7.68,1
AE601A,Mohammed Ibrahim Sugarno,7.39,1
AE602,Ashoke De,7.43,1
AE602,Dipak Kumar Giri,7.69,1
AE602,Rajesh Ranjan,7.15,1
AE602A,Alakesh Chandra Mandal,8.1,1
AE602A,Ashoke De,9.0,1
AE602A,Dipak Kumar Giri,8.4,1
AE606,Sanjay Kumar,7.65,1
AE606A,Sanjay Kumar,7.97,1
AE608,Mohammed Ibrahim Sugarno,7.77,1
AE608A,Rakesh Kumar,7.43,1
AE610,Arnab Samanta,5.63,1
AE610,Pradeep Moise,6.56,1
AE610A,Arnab Samanta,6.0,1
AE610A,Arun Kumar Perumal,6.27,1
AE611,Arun Kumar Perumal,8.92,1
AE612,Pradeep Moise,7.56,1
AE612A,Debopam Das,9.0,1
AE612A,Mohammed Ibrahim Sugarno,6.32,1
AE612A,Pradeep Moise,8.53,1
AE614,Kamal Poddar,7.68,2
AE614A,Debopam Das,8.5,1
AE617,Navrose,7.5,1
AE617A,Navrose,8.11,1
AE618,Sanjay Mittal,9.35,1
AE618A,Sanjay Mittal,6.4,1
AE621,Navrose,7.69,1
AE621A,Alakesh Chandra Mandal,7.725,2
AE630A,Mangal Kothari,8.5,1
AE631,Pradeep Moise,9.58,1
AE640A,Mangal Kothari,6.67,1
AE641A,Ashish Tewari,4.57,2
AE642,Dipak Kumar Giri,8.39,1
AE643,Sanjay Mittal,7.475,2
AE647,Raghavendra P Kukillaya,8.22,1
AE647A,Ashish Tewari,7.0,1
AE648,Ashish Tewari,6.0,1
AE648,Raghavendra P Kukillaya,8.29,1
AE648A,Raghavendra P Kukillaya,7.73,1
AE648A,Subrahmanyam Saderla,8.4,1
AE649,Dipak Kumar Giri,8.5,1
AE649A,Dipak Kumar Giri,9.0,1
AE655A,Mohammed Ibrahim Sugarno,7.24,1
AE656,Abhishek,9.0,1
AE659M,Rajesh Kitey,8.91,1
AE661,Rajesh Ranjan,8.86,1
AE661A,Rajesh Ranjan,7.67,1
AE663,Ajay Vikram Singh,4.0,1
AE663,D Chaitanya Kumar Rao,7.03,1
AE663A,Abhijit Kushari,7.12,1
AE663A,D Chaitanya Kumar Rao,8.26,1
AE663A,Vaibhav Arghode,5.6,1
AE664,Ajay Vikram Singh,7.18,1
AE664,Rakesh Kumar,6.97,1
AE664A,Ajay Vikram Singh,7.113333333333333,3
AE664A,Rajesh Ranjan,8.0,1
AE666,Abhijit Kushari,7.6,1
AE669,Alakesh Chandra Mandal,8.09,1
AE671,Navrose,8.0,1
AE671A,Arnab Samanta,8.43,1
AE674,Arnab Samanta,9.0,1
AE679M,Abhishek,8.82,1
AE686,Abhishek,9.12,1
AE687,Tanmay Dutt Mathur,7.61,1
AE687A,Pritam Chakraborty,8.08,1
AE688,Tanmay Dutt Mathur,7.93,2
AE688A,Tanmay Dutt Mathur,8.67,1
AE691A,Mangal Kothari,7.33,1
AE695A,Sathesh Mariappan,8.0,1
AE696A,Debopam Das,8.6,1
AE698,Kamal Poddar,8.0,1
AE698A,Kamal Poddar,8.31,1
AE702,Pritam Chakraborty,7.3,1
AE702A,Pritam Chakraborty,8.0,1
AE703,Arnab Samanta,7.83,1
AE703,Ashoke De,7.36,1
AE703A,Ashoke De,9.0,1
AE704A,Rajesh Kitey,9.0,1
AE707,Rajesh Kitey,7.8,1
AE711A,Mangal Kothari,9.0,1
AE712A,Arun Kumar Perumal,6.88,1
AE720A,Mohammed Ibrahim Sugarno,8.88,1
AE747,Rakesh Kumar,7.35,1
AE747A,Sanjay Kumar,8.62,1
AE755A,Ajay Vikram Singh,10.0,1
AE777A,Ashish Tewari,5.335,2
AE799,Pritam Chakraborty,,1
AE899,Pritam Chakraborty,,1
ART103,Shatarupa Thakurta Roy,7.87,1
ART402,Ritwij Bhowmik,8.34,1
ART406,Rajarshi Sengupta,7.65,1
ART406A,Shatarupa Thakurta Roy,8.235,2
ART704,Rajarshi Sengupta,10.0,1
ART706,Rajarshi Sengupta,10.0,1
ART707,Ritwij Bhowmik,7.98,1
ART707A,Ritwij Bhowmik,8.25,1
ART708,Shatarupa Thakurta Roy,10.0,1
ART709,Shatarupa Thakurta Roy,10.0,1
ART711,Ritwij Bhowmik,9.82,1
BSE211,Sai Prasad Pydi,7.77,2
BSE211A,Sai Prasad Pydi,8.05,1
BSE221,Anusmita Sahoo,6.08,2
BSE221A,Dibyendu Kumar Das,6.62,1
BSE222,Ashok Kumar,7.45,1
BSE223,Jayandharan Giridhara Rao,8.24,1
BSE223A,Jayandharan Giridhara Rao,8.76,1
BSE311,Amitabha Bandyopadhyay,6.5,1
BSE311,Robert Sonowal,7.4,1
BSE311A,Amitabha Bandyopadhyay,5.316666666666666,3
BSE312,Dibyendu Kumar Das,8.98,1
BSE312A,Bushra Ateeq,6.63,2
BSE312A,Suresh Kumar,8.81,1
BSE322,Nitin Gupta,6.81,1
BSE322A,Nitin Gupta,7.15,1
BSE411A,Dhirendra S. Katti,7.2,1
BSE412,Ashok Kumar,8.77,1
BSE412A,Ashok Kumar,8.33,1
BSE412A,Dhirendra S. Katti,7.56,1
BSE601,Nitin Mohan,,1
BSE602A,Dibyendu Kumar Das,,1
BSE611,Nitin Mohan,7.375,2
BSE611A,Nitin Mohan,5.62,1
BSE612,Ashok Kumar,9.5,1
BSE616,Ashwani Kumar Thakur,7.24,1
BSE616A,Ashwani Kumar Thakur,7.87,2
BSE642,Saravanan Matheshwaran,8.74,2
BSE642A,Saravanan Matheshwaran,8.51,2
BSE644,Nitin Mohan,7.18,1
BSE651,Jayandharan Giridhara Rao,8.285,2
BSE651A,Jayandharan Giridhara Rao,9.1,2
BSE652,Jonaki Sen,8.8,1
BSE652A,Jonaki Sen,7.0,1
BSE653,Bushra Ateeq,9.25,1
BSE653A,Bushra Ateeq,7.145,2
BSE655,Jonaki Sen,7.93,2
BSE655A,Jonaki Sen,4.0,1
BSE656,Nitin Gupta,9.025,2
BSE656A,Nitin Gupta,7.4,1
BSE658,Arjun Ramakrishnan,9.01,2
BSE658A,Arjun Ramakrishnan,8.8,1
BSE659,Dibyendu Kumar Das,6.5,1
BSE661,Appu Kumar Singh,8.915,2
BSE661A,Appu Kumar Singh,8.386666666666667,3
BSE662,Arjun Ramakrishnan,8.56,1
BSE662A,Arjun Ramakrishnan,8.33,1
BSE667,Amitabha Bandyopadhyay,9.56,1
BSE672,Suresh Kumar,9.71,1
BSE698X,Nikunj Arunkumar Bhagat,8.82,1
BSE798A,Amitabha Bandyopadhyay,9.45,1
CE212,Anubha Goel,7.54,1
CE212,Tarun Gupta,6.62,1
CE214,Abhas Singh,6.22,1
CE242A,Arghya Das,4.75,1
CE242A,Sudhir Mishra,5.2,2
CE243,Syam Nair,5.77,1
CE252,Gaurav Tiwari,6.41,1
CE262A,Gourabananda Pahar,6.25,1
CE272,Chinmoy Kolay,6.52,1
CE311A,Mukesh Sharma,5.43,1
CE311A,Tarun Gupta,7.0,1
CE311P,Purnendu Bose,8.85,1
CE331,Salil Goel,7.16,1
CE331A,Bharat Lohani,6.43,1
CE331A,Salil Goel,6.69,1
CE331P,Salil Goel,8.0,1
CE332A,Onkar Dikshit,7.14,1
CE341,Abhas Singh,,1
CE341,Arghya Das,,1
CE341A,Prishati Raychowdhury,,2
CE341A,Shivam Tripathi,,1
CE351,Arghya Das,6.31,1
CE351A,Gaurav Tiwari,7.5,1
CE351A,Jagdish Prasad Sahoo,7.17,2
CE351A,Priyanka Ghosh,6.71,1
CE351T,Jagdish Prasad Sahoo,0.0,1
CE352A,Bipin Kumar Gupta,5.140000000000001,2
CE352A,Priyanka Ghosh,5.51,1
CE352A,Rajesh Sathiyamoorthy,5.44,1
CE352P,Bipin Kumar Gupta,8.0,1
CE361,Tushar Apurv,7.2,1
CE361A,Saumyen Guha,7.08,1
CE361A,Tushar Apurv,6.81,1
CE371,Suparno Mukhopadhyay,6.27,1
CE371A,Amar Nath Roy Chowdhury,5.0,1
CE371A,Sudib Kumar Mishra,5.06,1
CE372A,Suparno Mukhopadhyay,6.63,1
CE372A,Vinay Kumar Gupta,3.92,1
CE381,Venkatesan Kanagaraj,5.76,1
CE382A,Pranamesh Chakraborty,5.11,1
CE382A,Venkatesan Kanagaraj,7.66,1
CE412A,Mukesh Sharma,6.15,1
CE412A,Purnendu Bose,6.53,1
CE412A,Vinod Tare,6.77,1
CE441B,Chirag Kothari,7.56,1
CE451,Gaurav Tiwari,7.15,1
CE451A,Bipin Kumar Gupta,8.254999999999999,2
CE462A,Saumyen Guha,7.32,2
CE471A,Chinmoy Kolay,8.83,1
CE481,Syam Nair,7.51,1
CE481A,Venkatesan Kanagaraj,6.65,1
CE491A,Arghya Das,9.5,1
CE603,Amar Nath Roy Chowdhury,8.52,1
CE603,Hemant Gehlot,7.69,1
CE603A,Hemant Gehlot,8.0,1
CE603A,Venkatesan Kanagaraj,7.65,1
CE604,Samit Ray Chaudhuri,8.05,1
CE604A,Gourabananda Pahar,7.3,1
CE604A,Samit Ray Chaudhuri,8.5,1
CE605,Mukesh Sharma,7.62,1
CE605A,Shivam Tripathi,6.56,1
CE606M,Hemant Gehlot,8.33,1
CE606M,Suparno Mukhopadhyay,7.71,1
CE610,Richa Ojha,7.31,1
CE611,Rajesh Srivastava,7.94,1
CE612A,Rajesh Srivastava,9.6,1
CE613A,Rajesh Srivastava,9.33,1
CE614,Tushar Apurv,7.09,1
